segment,ticker,quote_symbol,name,market,sub,role,tags,manual_change
asic,AVGO,,Broadcom,US,Switch ASIC,Tomahawk / Jericho switch silicon,ASIC|switch,5.80
asic,NVDA,,NVIDIA,US,GPU / Network ASIC,"GPU, NVLink, Spectrum-X ecosystem",GPU|networking,4.20
asic,MRVL,,Marvell,US,DSP / PAM4,"Optical DSP, custom silicon, DCI chips",DSP|custom silicon,6.40
asic,CRDO,,Credo,US,Retimer / DSP,High-speed connectivity and optical DSP,DSP|retimer,8.10
asic,ALAB,,Astera Labs,US,PCIe / CXL,AI data-center connectivity silicon,retimer|CXL,7.30
asic,MTSI,,MACOM,US,Analog IC,"Laser drivers, TIAs, high-speed analog",driver|TIA,3.60
asic,SMTC,,Semtech,US,Signal IC,Signal integrity and optical analog ICs,signal,-1.80
asic,CSCO,,Cisco,US,Network silicon,Silicon One and Acacia optical stack,switch|acacia,1.90
asic,CIEN,,Ciena,US,Coherent DSP,WaveLogic coherent DSP and systems,coherent|DSP,2.40
asic,AMD,,AMD,US,AI accelerator,AI accelerators and adaptive compute,accelerator,-0.70
asic,INTC,,Intel,US,Foundry / I/O,"Foundry, Ethernet, historical silicon photonics",foundry|ethernet,-2.90
asic,QCOM,,Qualcomm,US,Connectivity IC,High-speed connectivity and edge AI silicon,connectivity,0.60
asic,3661.TW,,世芯-KY,TW,ASIC design,Advanced-node custom ASIC design service,ASIC|design,4.90
asic,3443.TW,,創意,TW,ASIC design,GUC ASIC design and implementation,ASIC|design,3.10
asic,2454.TW,,聯發科,TW,Connectivity SoC,"Networking, SerDes and edge AI chip exposure",SoC,1.20
asic,5274.TWO,,信驊,TW,BMC,Server management silicon,server,-0.90
asic,688536.SH,,思瑞浦,CN,Analog IC,Analog and signal-chain ICs,analog,-3.70
asic,688498.SH,,源傑科技,CN,Laser driver link,Optical chip supplier with upstream exposure,optical chip,5.20
sipic,2330.TW,,台積電,TW,Foundry,Advanced-node and packaging platform for CPO ecosystem,foundry|CoWoS,2.60
